
CALIFORNIA	1986	42954.01	464550	140693.7	374934.6	163707	2.92E+08	1.81E+09	1.34E+09
CALIFORNIA	1987	42883.84	499943	142805.5	387763.6	163707	2.46E+08	2.23E+09	1.52E+09
CALIFORNIA	1988	42835.42	528674	145321.6	400653.1	163707	2.44E+08	2.22E+09	1.56E+09
COLORADO	1969	4403.21	24638	11402.52	23709.75	104100	6686000	1.08E+08	50134000
COLORADO	1970	4535.52	25689	11682.06	25186.8	104100	662000	1.34E+08	56097000
COLORADO	1971	4757.59	27341	12010.92	26010.17	104100	6384000	1.56E+08	60487000
COLORADO	1972	4982.21	29624	12473.28	27387.44	104100	6554000	1.49E+08	67229000
COLORADO	1973	5143.73	32417	12964.14	28763.31	104100	9111000	1.34E+08	78647000
COLORADO	1974	5223.11	33039	13483.92	29939.43	104100	9495000	1.68E+08	92468000
COLORADO	1975	5318.1	33593	14090.24	34680.9	104100	8238000	1.81E+08	1.00E+08
COLORADO	1976	5463.79	35223	14736.89	35116.03	104100	7986000	2.08E+08	1.05E+08
COLORADO	1977	5598.49	37429	15240.49	36213.59	104100	9420000	2.02E+08	1.20E+08
COLORADO	1978	5705.99	40522	15711.11	37674.72	104100	7296000	2.17E+08	1.37E+08
COLORADO	1979	5766.89	42917	16272.57	39349.98	104100	14080000	2.83E+08	1.71E+08
COLORADO	1980	5820.52	43888	16692.71	45660.95	104100	24876000	2.86E+08	2.12E+08
COLORADO	1981	5846.02	44695	17027.52	47010.56	104100	19151000	2.38E+08	2.12E+08
COLORADO	1982	5877.85	45252	17388.99	47724.11	104100	33365000	2.83E+08	2.32E+08
COLORADO	1983	5942.8	46523	17785.25	48372.92	104100	33868000	3.42E+08	2.47E+08
COLORADO	1984	6057.5	49332	18327.12	49793.31	104100	25645000	3.91E+08	2.70E+08
COLORADO	1985	6148.8	50820	18889.54	47485.05	104100	26715000	4.52E+08	2.90E+08
COLORADO	1986	6271.6	51781	19350.74	48603.54	104100	34392000	4.72E+08	2.93E+08
COLORADO	1987	6397.72	51249	20112.45	49893.94	104100	25691000	4.53E+08	2.97E+08
COLORADO	1988	6574.39	52117	20639.31	51304.57	104100	34119000	5.36E+08	3.12E+08
CONNECTICUT	1969	7237.13	39427	15865.66	24082.38	5544	23172000	1.08E+08	75327000
CONNECTICUT	1970	7312.24	38880	16559.99	25147.44	5544	30418000	1.27E+08	80136000
CONNECTICUT	1971	7407.46	38515	17346.79	26191.58	5544	40737000	1.51E+08	83557000
CONNECTICUT	1972	7492.12	40037	17803.12	27301.99	5544	29430000	1.40E+08	84097000
CONNECTICUT	1973	7550.75	42157	18225.2	28832.92	5544	37738000	1.40E+08	86323000
CONNECTICUT	1974	7585.56	41827	18686.78	30306.1	5544	28854000	1.61E+08	95405000
CONNECTICUT	1975	7587.34	39870	18871.06	27628.42	5544	17272000	1.52E+08	96383000
CONNECTICUT	1976	7501.72	41326	18798.54	28268.33	5544	11584000	1.04E+08	1.04E+08
CONNECTICUT	1977	7352.08	42976	18566.24	29207.04	5544	9523000	1.03E+08	1.10E+08
CONNECTICUT	1978	7274.07	44844	18487.06	30449.45	5544	6029000	1.14E+08	1.37E+08
CONNECTICUT	1979	7192	46008	18385.98	31844.08	5544	12659000	1.37E+08	1.31E+08
CONNECTICUT	1980	7103.85	45949	18271.34	31895.65	5544	12726000	1.70E+08	1.44E+08
CONNECTICUT	1981	7017.05	47397	18030.08	32967.44	5544	4979000	1.65E+08	1.31E+08
CONNECTICUT	1982	6959.31	47241	17739.88	33668.53	5544	3532000	1.48E+08	1.59E+08
CONNECTICUT	1983	6890.73	50594	17494.36	34439.31	5544	7672000	2.03E+08	1.78E+08
CONNECTICUT	1984	6861.64	55117	17317.13	35816.37	5544	8693000	2.30E+08	1.91E+08
CONNECTICUT	1985	6878.14	58263	17290.61	40413.22	5544	9988000	3.15E+08	2.07E+08
CONNECTICUT	1986	6934.84	61750	17350.14	42119.46	5544	15857000	4.10E+08	2.11E+08
CONNECTICUT	1987	7064.15	65927	17597.19	44152.31	5544	14943000	5.05E+08	2.56E+08
CONNECTICUT	1988	7236.71	70125	17871.09	46318.68	5544	20418000	5.37E+08	2.59E+08
DELAWARE	1969	2078.95	6930	4250.95	6108.14	2489	2425000	45204000	12306000
DELAWARE	1970	2076.73	6863	4405.92	6361.22	2489	6238000	31990000	11597000
DELAWARE	1971	2105.3	7399	4560.71	6602.65	2489	4449000	33253000	12260000
DELAWARE	1972	2125.88	7829	4725.12	6892.09	2489	6629000	40635000	12131000
DELAWARE	1973	2195.49	8604	4927.52	7263.84	2489	8757000	55522000	13062000
DELAWARE	1974	2197.46	7777	4988.37	7624.03	2489	3636000	46833000	12576000
DELAWARE	1975	2161.42	7625	4959.87	7706.19	2489	2091000	36597000	12747000
DELAWARE	1976	2158.95	8061	4958.47	7845.75	2489	2990000	49948000	14393000
DELAWARE	1977	2134.89	8313	4954.21	8100.95	2489	2590000	40692000	15723000
DELAWARE	1978	2103.91	8390	4936.91	8435.96	2489	2983000	55613000	19011000
DELAWARE	1979	2071.23	8360	4868.74	8811.38	2489	2306000	43261000	19882000
DELAWARE	1980	2050.14	8200	4825.97	9049.53	2489	4737000	70174000	21970000
DELAWARE	1981	2038.78	8344	4786.37	9327.72	2489	4455000	85021000	19346000
DELAWARE	1982	2029.77	8435	4768.17	9486.76	2489	5142000	72439000	23029000
DELAWARE	1983	2037.26	8883	4743.86	9630.61	2489	5245000	86574000	29115000
DELAWARE	1984	2043.62	9347	4731.49	9921.23	2489	4209000	1.01E+08	29870000
DELAWARE	1985	2052.16	9699	4716.73	10655	2489	2003000	98746000	38290000
DELAWARE	1986	2051.68	10072	4682.39	11085.71	2489	2174000	1.02E+08	38994000
DELAWARE	1987	2062.5	10751	4654.77	11607.23	2489	5811000	1.15E+08	39139000
DELAWARE	1988	2112.78	11427	4681.46	12209.28	2489	22363000	1.57E+08	49904000
FLORIDA	1969	12622.3	67330	29696.86	57178.05	65758	32185000	2.34E+08	1.02E+08
FLORIDA	1970	12873.62	69641	30683.09	60238.01	65758	45625000	3.09E+08	1.11E+08
FLORIDA	1971	13424.21	73170	32089.12	62873.97	65758	46992000	3.98E+08	1.26E+08
FLORIDA	1972	13999.7	81313	33480.99	66432.27	65758	82908000	4.27E+08	1.26E+08
FLORIDA	1973	14586.91	90897	34650.29	70452.68	65758	90926000	4.87E+08	1.45E+08
FLORIDA	1974	15075.13	92163	36103.75	73809.64	65758	1.01E+08	5.94E+08	1.67E+08
FLORIDA	1975	15538.54	89502	37942.62	87196.5	65758	82038000	5.67E+08	2.15E+08
FLORIDA	1976	15790.7	90957	39393.89	88699.63	65758	80182000	4.76E+08	2.29E+08
FLORIDA	1977	15985.09	95449	40859.4	91517.52	65758	68768000	4.99E+08	2.49E+08
FLORIDA	1978	16220.82	103064	42107.13	95108.5	65758	69338000	5.90E+08	2.91E+08
FLORIDA	1979	16457.76	109121	43192.98	99248.64	65758	72933000	6.38E+08	3.00E+08
FLORIDA	1980	16724.87	113857	44311.68	108486.9	65758	1.11E+08	9.88E+08	3.40E+08
FLORIDA	1981	16952.95	118145	45492	111868	65758	92399000	8.97E+08	4.11E+08
FLORIDA	1982	17282.36	118301	47116.82	113951.6	65758	87572000	8.24E+08	4.80E+08
FLORIDA	1983	17597.76	126322	48538.98	116417.2	65758	1.14E+08	7.74E+08	5.59E+08
FLORIDA	1984	17888.08	136572	50336.63	120719.7	65758	1.73E+08	9.07E+08	5.53E+08
FLORIDA	1985	18290.06	145171	52309.37	135673	65758	1.74E+08	1.28E+09	5.74E+08
