"State"	"CAPURBINT"	"CAPURBLOC"	"CAPURBTOT"	"MNTURBINT"	"MNTURBLOC"	"MNTURBTOT"	"CAPRURINT"	"CAPRURLOC"	"CAPRURTOT"	"MNTRURINT"	"MNTRURLOC"	"MNTRURTOT"	"CAPTOTINT"	"CAPTOTLOC"	"CAPTOTTOT"	"MNTTOTINT"	"MNTTOTLOC"	"MNTTOTTOT"	"MILRURINT"	"MILRURLOC"	"MILRURTOT"	"MILURBINT"	"MILURBFWY"	"MILURBLOC"	"MILURBTOT"	"URBMIL+4"	"URBMIL-4"	"RURMIL+4"	"RURMIL-4"	"RURPASSVEH"	"RURTRUSING"	"RURTRUCOM"	"URBPASSVEH"	"URBTRUSING"	"URBTRUCOMB"	"ALASKA"	"NEWYORK"	"CALIFORNIA"	"SOUTHEAST"	"MIDWEST"	"NORTHEAST"	"VMTRURINT"	"VMTRURLOC"	"VMTRURTOT"	"VMTURBINT"	"VMTURBFWY"	"VMTURBLOC"	"VMTURBTOT"	"CSTADMHWY"	"CLOCADMRD"	"CFEDROAD"	"CTOTAL"	"MSTADMHWY"	"MLOCADMRD"	"MREDROAD"	"MTOTAL"	"ADM_MISC"	"LAW_SAFETY"	"INTEREST"	"BONDRETIRE"	"TOTALDISB"	"MILRURINT^2"
"New  York"	659716	1156753	1816469	6566	139131	145697	308954	79800	388754	104087	37561	141648	968670	1236553	2205223	110653	176692	287345	797	71792	72589	703	857	110322	111882	385	318	52	745	69.5	16.3	14.2	77.4	17.2	5.4	0	1	0	0	0	1	5381	24961	30342	14475	14327	50737	79539	1	1	176	2	606	1	200	2	616	283	586	409	6	1294925
"North  Carolina"	64284	356506	420790	2913	285614	288527	95113	304887	400000	8739	86962	95701	159397	661393	820790	11652	372576	384228	633	73672	74305	337	260	95431	96028	87	250	18	615	70.9	7.1	22	74.5	14.3	11.2	0	0	0	1	0	0	6237	27529	33766	6050	2464	25258	33772	772	127	10	910	362	86	1	449	127	203	28	17	1	464973
"North  Dakota"	12595	38445	51040	244	1285	1529	19318	52728	72046	3279	25233	28512	31913	91173	123086	3523	26518	30041	531	84378	84909	40	0	86687	86727	3	37	0	531	64.6	21.1	14.3	73.3	19.6	7.1	0	0	0	0	0	0	1012	3485	4497	188	0	1387	1575	93	45	15	138	34	50	2	86	20	15	6	13	281	294556
"Ohio"	221034	317734	538768	18514	67884	86398	87218	196244	283462	27324	285261	312585	308252	513978	822230	45838	353145	398983	847	81408	82255	726	381	112716	113823	212	514	15	832	67.2	12.6	20.2	79.7	12.2	8.1	0	0	0	0	1	0	8276	29153	37429	15929	3608	38255	57792	679	401	211	1	460	504	23	964	335	213	51	109	2	938443
"Oklahoma"	49705	155221	204926	2411	5119	7530	13592	114963	128555	3148	74386	77534	63297	270184	333481	5559	79505	85064	715	98958	99673	214	136	112117	112467	72	142	0	715	62.8	18	19.2	69.1	25.5	5.4	0	0	0	0	0	0	3705	13662	17367	3365	1831	12556	17752	320	113	4	438	88	117	17	206	191	41	56	85	1	560930
"Oregon"	20270	141847	162117	9788	49226	59014	36947	118079	155026	18564	59139	77703	57217	259926	317143	28352	108365	136717	581	85427	86008	146	53	95837	96036	58	88	21	560	54.3	29.5	16.2	65.5	28.9	5.6	0	0	0	0	0	0	3812	11724	15536	2966	971	8453	12390	335	201	10	547	120	168	7	296	64	73	14	24	1	357831
"Pennsylvania"	315428	409182	724610	12640	342892	355532	295404	265133	560537	43941	124571	168512	610832	674315	1285147	56581	467463	524044	1079	83343	84422	509	485	116044	117038	111	398	18	1061	60.5	16.5	23	73.8	16.2	10	0	0	0	0	0	1	7381	29968	37349	8839	4656	38356	51851	1	125	268	1	764	744	85	1	152	443	190	225	3	1479669
"Rhode  Island"	24216	172300	196516	4785	16366	21151	4734	20313	25047	2051	4680	6731	28950	192613	221563	6836	21046	27882	21	1313	1334	49	68	5940	6057	33	16	0	21	74.8	16.9	8.3	79.9	14	6.1	0	0	0	0	0	1	278	851	1129	1407	601	4422	6430	136	4	0	140	23	17	6	40	9	28	14	19	253	24657
"South  Carolina"	32565	150992	183557	85	111198	111283	25330	198089	223419	0	15895	15895	57895	349081	406976	85	127093	127178	668	52969	53637	142	70	63946	64158	51	91	16	652	70.6	10.6	18.8	76.6	12.1	11.3	0	0	0	1	0	0	5945	15168	21113	2427	589	10920	13936	332	31	28	364	156	43	40	200	52	86	917	824	705	478789
"South  Dakota"	8696	46384	55080	648	1537	2185	22248	111723	133971	5088	24580	29668	30944	158107	189051	5736	26117	31853	631	80814	81445	47	3	83255	83305	0	47	0	631	72.9	16.4	10.7	80.6	16.9	2.5	0	0	0	0	0	0	1354	4324	5678	229	17	1294	1540	159	68	1	230	33	68	3	105	21	30	843	1	390	406857
"Tennessee"	79292	109327	188619	18005	27009	45014	37419	343240	380659	27008	108025	135033	116711	452567	569278	45013	135034	180047	740	67776	68516	322	114	84601	85037	141	181	25	715	65	13.9	21.1	69.9	20.5	9.6	0	0	0	1	0	0	6603	15998	22601	6473	871	20049	27393	613	106	5	725	192	225	70	417	84	59	6	16	1	626892
"Texas"	299955	715039	1014994	34146	107606	141752	156428	807390	963818	162540	355502	518042	456383	1522429	1978812	196686	463108	659794	2203	212807	215010	1031	1212	291899	294142	555	476	45	2158	60.5	20.4	19.1	73.2	19.8	7	0	0	0	1	0	0	12612	44556	57168	23998	15234	66929	106161	1	578	3	2	564	898	67	1	473	804	351	246	5	5153164
"Utah"	47041	69962	117003	13300	11140	24440	36446	77545	113991	12500	20560	33060	83487	147507	230994	25800	31700	57500	769	33633	34402	168	9	40331	40508	111	57	17	752	60.6	21.6	17.8	73.6	20.7	5.7	0	0	0	0	0	0	2309	3633	5942	3321	90	6954	10365	182	68	5	256	59	72	1	133	40	33	0	0	464	638402
"Vermont"	1240	46248	47488	195	743	938	13511	48863	62374	1432	7378	8810	14751	95111	109862	1627	8121	9748	280	12562	12842	40	20	14106	14166	0	40	0	280	80.1	14.8	5.1	79.7	16	4.3	0	0	0	0	0	1	1011	3304	4315	284	51	1369	1704	87	36	0	124	36	54	15	90	15	21	2	5	258	79640
"Virginia"	60013	336862	396875	34331	171618	205949	46316	182575	228891	66071	157167	223238	106329	519437	625766	100402	328785	429187	788	52060	52848	318	194	67917	68429	138	180	118	670	68.8	16.6	14.6	78.1	16.6	5.3	0	0	0	1	0	0	7511	22259	29770	8174	2263	23240	33677	649	202	8	861	468	187	30	655	143	168	99	190	2	680957
"Washington"	222494	192792	415286	9553	21089	30642	26177	234796	260973	7031	26629	33660	248671	427588	676259	16584	47718	64302	501	61709	62210	262	302	78864	79428	158	104	96	405	64.9	24.6	10.5	70	25.6	4.4	0	0	0	0	0	0	3563	13129	16692	8350	3841	20503	32694	501	332	3	837	193	267	2	463	239	173	72	95	1	473495
"West  Virginia"	18925	120989	139914	5204	59219	64423	37245	290280	327525	15215	65377	80592	56170	411269	467439	20419	124596	145015	456	31452	31908	94	9	34942	35045	9	85	23	433	70.1	12.9	17	72.9	15	12.1	0	0	0	1	0	0	2979	8853	11832	1169	414	3063	4646	356	13	134	370	161	48	41	209	31	38	29	41	720	226861
"Wisconsin"	26875	205270	232145	1390	9528	10918	36422	381434	417856	4988	57700	62688	63297	586704	650001	6378	67228	73606	495	94892	95387	143	178	110657	110978	56	87	50	445	77	9.7	13.3	76.5	14.2	9.3	0	0	0	0	1	0	4236	20781	25017	2988	2216	17407	22611	626	384	1	1	116	423	1	541	128	261	72	135	2	271900
"Wyoming"	2778	22867	25645	791	1731	2522	39675	93466	133141	5815	21789	27604	42453	116333	158786	6606	23520	30126	827	34429	35256	87	3	37552	37642	0	87	0	827	41.2	24.4	34.4	55.1	34.7	10.2	0	0	0	0	0	0	1746	2858	4604	261	8	1344	1613	127	34	12	173	52	34	900	87	24	23	187	1	311	686707
"Undistributed"	0	0	0	0	0	0	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	3	3	0	0	20	20	422	0	0	0	446	¥
"Total"	5539140	¥	15864206	452488	¥	2973365	2901833	¥	12369665	790142	¥	3626911	8440973	¥	28233871	1242630	¥	6600276	32622	3069021	3101643	12878	8857	3882986	3904721	6230	6648	1589	31033	67.3	16.5	16.2	74.6	18	7.4	¥	¥	¥	¥	¥	¥	205	678	884	303	138	921	1	27	10	219	38	8	13	73	22	7	7	3	4	83	1069734024
