,STATE,,YEAR,HIGHWAY,GSP,TOTPUB,PVTCAP,AREA,ROW,TCAP,TMANT,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,MILTOTTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB,PGOVSAL93,PGOVSAL94,PBITCONC93,PEXCAV93,PREINFSTL93,PSTRUCTSTL93,PSTRUCCON93,POP90(THSD),SQMILES,POPDENS=LAND,BONDRATE (Moody's)
"""",MARYLAND,"""",1988,11768.02,73671,31062.85,56167.54,12407,105000000,1020000000,296000000,79085,154176,233261,6980,84597,91577,113671,124701,238372,6588,2582,9170,192756,278877,471633,13568,87179,100747,227,=+AG22-AE22,15642,255,224,=+AK22-AH22-AI22,13671,=AG22+AK22,187,68,123,104,63.7,17.2,19.1,65.3,33.5,1.2,0,0,0,1,0,0,2913,9889,12802,9086,3406,16602,29094,511583,232055,14907,758545,149131,200106,0,349237,108364,161614,81688,330508,1789956,32930,34052,26.2,2.48,0.505,0.808,286.69,4860,12407,391.71435479971, AAA
"""",MASSACHUSETTS,"""",1988,9194.59,116523,32265.09,80736.98,10555,48478000,857000000,400000000,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,162,=+AG23-AE23,10927,403,199,=+AK23-AH23-AI23,19636,=AG23+AK23,323,80,59,103,74.8,15.5,9.7,85.4,11,3.59999999999999,0,0,0,0,0,1,2176,6615,8791,10733,4490,23334,38557,871763,141997,40,1013800,146150,244043,0,390193,214814,177051,174108,245634,2215600,31609,33039,28.96,3.17,0.719,0.683,93.8,5996,10555,568.072003789673,  A1
"""",MICHIGAN,"""",1988,18795.61,145444,49760.76,137614.7,96810,27093000,670000000,741000000,261891,64799,326690,44295,9639,53934,71861,162943,234804,13758,26571,40329,333752,227742,561494,58053,36210,94263,741,=+AG24-AE24,89485,499,221,=+AK24-AH24-AI24,28174,=AG24+AK24,301,198,92,649,72.2,18.6,9.2,72.7,19.5,7.8,0,0,0,0,1,0,5614,25620,31234,12601,3965,36419,52985,546839,276700,31,823570,138763,642977,300,782040,205891,201637,35674,44873,2093685,30074,30740,26.64,3.23,0.557,1.1,268.24,9368,96810,96.7668629273835,  A1
"""",MINNESOTA,"""",1988,13417.77,73407,30670.27,66077.3,86943,50735000,982000000,493000000,75321,372047,447368,6115,34480,40595,14920,145839,160759,5342,51908,57250,90241,517886,608127,11457,86388,97845,681,=+AG25-AE25,115073,233,130,=+AK25-AH25-AI25,14886,=AG25+AK25,106,127,20,661,76.4,12.7,10.9,83.1,12.5,4.40000000000001,0,0,0,0,1,0,3201,16769,19970,5320,2216,13656,21192,587390,689936,163,1277489,144894,395181,1508,541583,146484,180927,56605,127591,2330679,28052,28807,19.28,1.58,0.447,0.825,150.76,4432,86943,50.9759267566107, AA1
"""",MISSISSIPPI,"""",1988,6702.66,31247,12439.9,35823.48,48434,16691000,353000000,241000000,29423,91401,120824,770,2241,3011,33549,279203,312752,3231,31588,34819,62972,370604,433576,4001,33829,37830,558,=+AG26-AE26,64930,127,40,=+AK26-AH26-AI26,7904,=AG26+AK26,0,127,0,558,63.9,17.2,18.9,68.1,16.3,15.6,0,0,0,1,0,0,2951,14570,17521,1383,185,7150,8718,332638,119737,3341,455716,54704,188186,591,243481,33114,64869,31566,57622,886368,20777,21643,29.17,1.65,0.334,0.74,211.04,2592,48434,53.5161250361316,  AA
"""",MISSOURI,"""",1988,11494.67,77844,24607.52,75102.29,69709,24073000,537000000,424000000,77983,107018,185001,22339,13394,35733,60904,254227,315131,16829,103110,119939,138887,361245,500132,39168,116504,155672,812,=+AG27-AE27,105637,366,276,=+AK27-AH27-AI27,16150,=AG27+AK27,210,156,5,807,63.7,12,24.3,80.2,14.6,5.2,0,0,0,0,1,0,5504,19464,24968,8497,2326,17463,28286,464531,199354,1342,665227,210439,222712,8,433159,177283,124228,11715,19421,1431033,24807,25475,23.54,2.57,0.606,0.771,317.83,5158,69709,73.9933150669211, AAA
"""",MONTANA,"""",1988,4165.41,10336,6209.03,19331.31,147046,12105000,236000000,75017000,4706,35328,40034,485,2123,2608,33598,116717,150315,3520,12273,15793,38304,152045,190349,4005,14396,18401,1137,=+AG28-AE28,67388,53,0,=+AK28-AH28-AI28,2380,=AG28+AK28,0,53,0,1137,53.1,31.6,15.3,67.5,22.9,9.6,0,0,0,0,0,0,1928,4574,6502,184,0,1839,2023,191070,57652,9217,257939,42087,21356,4178,67621,16843,19424,13958,1723,377508,23744,24180,23.74,3.21,0.513,0.655,238.51,808,147046,5.49487915346218,  AA
"""",NEBRASKA,"""",1988,5423.15,23621,14873.69,29966.97,77358,9036000,289000000,160000000,25688,33785,59473,469,7711,8180,35102,177951,213053,3277,25251,28528,60790,211736,272526,3746,32962,36708,437,=+AG29-AE29,87648,44,11,=+AK29-AH29-AI29,5054,=AG29+AK29,11,33,0,437,50.3,23.6,26.1,68.8,25.5,5.7,0,0,0,0,1,0,1994,6966,8960,734,93,4834,5661,244117,192494,34598,471209,51993,126578,444,179015,43639,42934,15349,27120,779266,23214,23698,22.21,2.03,0.781,0.635,304.88,1593,77355,20.5933682373473,   X
"""",NEVADA,"""",1988,2782.09,19384,6537.47,25760.58,110567,12154000,188000000,76017000,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,480,=+AG30-AE30,41181,65,32,=+AK30-AH30-AI30,4597,=AG30+AK30,20,45,0,480,59.5,14.3,26.2,811,13.2,5.70000000000001,0,0,0,0,0,0,1522,2957,4479,1147,579,4692,6418,168487,10557,2640,181684,58785,14637,1048,74470,23360,24049,12962,16786,333311,30929,31617,20.67,3.33,0.478,0.994,236.94,1284,110567,11.612868215652,  AA
"""",NEW_HAMPSHIRE,"""",1988,2401.79,20324,4541.76,13374.03,9351,12158000,117000000,146000000,12430,58654,71084,555,9422,9977,39037,61431,100468,3699,44484,48183,51467,120085,171552,4254,53906,58160,176,=+AG31-AE31,12069,48,40,=+AK31-AH31-AI31,2869,=AG31+AK31,13,35,21,155,74.5,21.8,3.7,69.3,27,3.7,0,0,0,0,0,1,1330,5025,6355,712,448,2552,3712,86815,37694,0,124509,98469,66752,106,165327,96270,46005,21722,4533,458366,26304,27116,26.4,3.09,0.482,1.115,209.89,1105,9351,118.16917976687,  AA
"""",NEW_JERSEY,"""",1988,15409,155077,37458.49,111049,8722,70674000,691000000,537000000,498494,436924,935418,38105,129416,167521,10398,95880,106278,4801,25387,30188,508892,532804,1041696,42906,154803,197709,113,=+AG32-AE32,11068,300,306,=+AK32-AH32-AI32,24029,=AG32+AK32,246,54,56,57,72.5,16.3,11.2,74.4,17.7,7.9,0,0,0,0,0,1,2124,9726,11850,8110,5734,33716,47560,1250419,100871,0,1351290,358862,342765,0,701627,381121,254093,238792,220850,3147773,35532,37039,27.28,7.11,0.75,1.175,320.62,7760,8722,889.704196285256, AA1
