State,Stock Capital 1988 (millions),CAPTOTTOT (thousands),MNTTOTTOT (thousands),ADM_MISC (thousands),LAW_SAFETY (thousands),INTEREST (thousands),BONDRETIRE (thousands),,,,Cc,Cm,Cl,LRTE,SRTE
Texas,36718.22,1978812,659794,473048,804375,351868,246617,,,0.0515,=1.2*K45*B45*1000,=+D45,=+E45+F45,=+L45+M45+N45,=+M45+N45
Utah,4317.48,230994,57500,40831,33745,0,0,,,0.0475,=1.2*K46*B46*1000,=+D46,=+E46+F46,=+L46+M46+N46,=+M46+N46
Vermont,1819.61,109862,9748,15067,21072,2015,5990,,,0.0515,=1.2*K47*B47*1000,=+D47,=+E47+F47,=+L47+M47+N47,=+M47+N47
Virginia,14931.72,625766,429187,143235,168008,99058,190483,,,0.0475,=1.2*K48*B48*1000,=+D48,=+E48+F48,=+L48+M48+N48,=+M48+N48
Washington,12142.25,676259,64302,239299,173064,72751,95899,,,0.0515,=1.2*K49*B49*1000,=+D49,=+E49+F49,=+L49+M49+N49,=+M49+N49
West  Virginia,7562.87,467439,145015,31528,38247,29209,41355,,,0.0535,=1.2*K50*B50*1000,=+D50,=+E50+F50,=+L50+M50+N50,=+M50+N50
Wisconsin,10981.49,650001,73606,128447,261228,72021,135877,,,0.0515,=1.2*K51*B51*1000,=+D51,=+E51+F51,=+L51+M51+N51,=+M51+N51
Wyoming,3571.6,158786,30126,24522,23896,187,1159,,,0.0525,=1.2*K52*B52*1000,=+D52,=+E52+F52,=+L52+M52+N52,=+M52+N52
,,,,,,,,,,=NA(),=1.2*K53*B53*1000,=+D53,=+E53+F53,=+L53+M53+N53,=+M53+N53
Total,=SUM(B2:B52),=SUM(C2:C52),=SUM(D2:D52),=SUM(E2:E52),=SUM(F2:F52),=SUM(G2:G52),=SUM(H2:H52),,,0.0595,=1.2*K54*B54*1000,=+D54,=+E54+F54,=+L54+M54+N54,=+M54+N54
Average,=AVERAGE(B2:B52),=AVERAGE(C2:C52),=AVERAGE(D2:D52),=AVERAGE(E2:E52),=AVERAGE(F2:F52),=AVERAGE(G2:G52),=AVERAGE(H2:H52),,,,,,,,
