,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB
Minnesota,75321,372047,447368,6115,34480,40595,14920,145839,160759,5342,51908,57250,90241,517886,608127,11457,86388,97845,681,=+V25-T25,115073,233,130,=+Z25-W25-X25,129959,106,127,20,661,86.4,2.7,=100-AE25-AF25,93.1,2.5,=100-AH25-AI25,0,0,0,0,1,0,3201,16769,19970,5320,2216,13656,21192,587390,689936,163,1277489,144894,395181,1508,541583,146484,180927,56605,127591,2330679
Mississippi,29423,91401,120824,770,2241,3011,33549,279203,312752,3231,31588,34819,62972,370604,433576,4001,33829,37830,558,=+V26-T26,64930,127,40,=+Z26-W26-X26,72834,0,127,0,558,63.9,17.2,=100-AE26-AF26,68.1,16.3,=100-AH26-AI26,0,0,0,1,0,0,2951,14570,17521,1383,185,7150,8718,332638,119737,3341,455716,54704,188186,591,243481,33114,64869,31566,57622,886368
Missouri,77983,107018,185001,22339,13394,35733,60904,254227,315131,16829,103110,119939,138887,361245,500132,39168,116504,155672,812,=+V27-T27,105637,366,276,=+Z27-W27-X27,121787,210,156,5,807,63.7,12,=100-AE27-AF27,80.2,14.6,=100-AH27-AI27,0,0,0,0,1,0,5504,19464,24968,8497,2326,17463,28286,464531,199354,1342,665227,210439,222712,8,433159,177283,124228,11715,19421,1431033
Montana ,4706,35328,40034,485,2123,2608,33598,116717,150315,3520,12273,15793,38304,152045,190349,4005,14396,18401,1137,=+V28-T28,67388,53,0,=+Z28-W28-X28,69768,0,53,0,1137,53.1,31.6,=100-AE28-AF28,67.5,22.9,=100-AH28-AI28,0,0,0,0,0,0,1928,4574,6502,184,0,1839,2023,191070,57652,9217,257939,42087,21356,4178,67621,16843,19424,13958,1723,377508
Nebraska,25688,33785,59473,469,7711,8180,35102,177951,213053,3277,25251,28528,60790,211736,272526,3746,32962,36708,437,=+V29-T29,87648,44,11,=+Z29-W29-X29,92702,11,33,0,437,50.3,23.6,=100-AE29-AF29,68.8,25.5,=100-AH29-AI29,0,0,0,0,1,0,1994,6966,8960,734,93,4834,5661,244117,192494,34598,471209,51993,126578,444,179015,43639,42934,15349,27120,779266
Nevada,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,NA,=#REF!,NA,480,=+V30-T30,41181,65,32,=+Z30-W30-X30,45778,20,45,0,480,69.5,4.3,=100-AE30-AF30,91.1,3.2,=100-AH30-AI30,0,0,0,0,0,0,1522,2957,4479,1147,579,4692,6418,168487,10557,2640,181684,58785,14637,1048,74470,23360,24049,12962,16786,333311
New  Hampshire,12430,58654,71084,555,9422,9977,39037,61431,100468,3699,44484,48183,51467,120085,171552,4254,53906,58160,176,=+V31-T31,12069,48,40,=+Z31-W31-X31,14938,13,35,21,155,74.5,21.8,=100-AE31-AF31,69.3,27,=100-AH31-AI31,0,0,0,0,0,1,1330,5025,6355,712,448,2552,3712,86815,37694,0,124509,98469,66752,106,165327,96270,46005,21722,4533,458366
New  Jersey,498494,436924,935418,38105,129416,167521,10398,95880,106278,4801,25387,30188,508892,532804,1041696,42906,154803,197709,113,=+V32-T32,11068,300,306,=+Z32-W32-X32,35097,246,54,56,57,72.5,16.3,=100-AE32-AF32,74.4,17.7,=100-AH32-AI32,0,0,0,0,0,1,2124,9726,11850,8110,5734,33716,47560,1250419,100871,0,1351290,358862,342765,0,701627,381121,254093,238792,220850,3147773
New  Mexico,27850,49279,77129,=#REF!,=#REF!,=#REF!,63130,176558,239688,NA,=#REF!,NA,90980,225837,316817,NA,=#REF!,52572,907,=+V33-T33,54961,91,3,=+Z33-W33-X33,60812,26,65,10,897,63.6,15.3,=100-AE33-AF33,66,14.7,=100-AH33-AI33,0,0,0,0,0,0,3659,7989,11648,1202,2,5600,6804,245616,38902,6033,290551,63812,38326,5674,107812,65312,26275,2532,2014,494496
New  York,659716,1156753,1816469,6566,139131,145697,308954,79800,388754,104087,37561,141648,968670,1236553,2205223,110653,176692,287345,797,=+V34-T34,72589,703,857,=+Z34-W34-X34,111882,385,318,52,745,69.5,16.3,=100-AE34-AF34,77.4,17.2,=100-AH34-AI34,0,1,0,0,0,1,5381,24961,30342,14475,14327,50737,79539,1172069,1220310,176,2392555,606776,1839465,200,2446441,616785,283252,586457,409463,6734953
